               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,            0.029013,            0.019296,                   0,             0.89984,             0.77645,             0.84464,             0.57998,            0.025215,            0.016204,                   0,           0.0066835,           0.0066835,           0.0066835
                 136,            0.029528,             0.01999,                   0,             0.89264,             0.76543,             0.84058,             0.59039,            0.027275,             0.01536,                   0,           0.0066587,           0.0066587,           0.0066587
                 137,            0.028972,            0.019165,                   0,              0.9241,             0.77778,             0.83509,              0.5654,            0.026829,            0.016581,                   0,            0.006634,            0.006634,            0.006634
                 138,            0.027637,            0.019004,                   0,             0.90709,             0.77778,             0.81199,             0.57192,            0.026617,            0.016312,                   0,           0.0066092,           0.0066092,           0.0066092
                 139,            0.028312,            0.022296,                   0,             0.81753,             0.81481,             0.84804,             0.60374,            0.025309,            0.015912,                   0,           0.0065845,           0.0065845,           0.0065845
                 140,            0.025625,            0.018359,                   0,             0.88892,             0.77778,             0.87745,             0.61605,             0.02541,            0.014862,                   0,           0.0065598,           0.0065598,           0.0065598
                 141,            0.027543,            0.018955,                   0,             0.92627,             0.77555,             0.86019,              0.5896,            0.025997,               0.016,                   0,            0.006535,            0.006535,            0.006535
                 142,             0.02855,            0.020083,                   0,             0.89045,             0.80282,             0.83812,             0.59408,            0.024827,            0.014884,                   0,           0.0065102,           0.0065102,           0.0065102
                 143,            0.030021,            0.019599,                   0,             0.92674,             0.79012,             0.85094,             0.60707,            0.025344,            0.015296,                   0,           0.0064855,           0.0064855,           0.0064855
                 144,            0.026117,            0.019697,                   0,             0.86732,             0.80705,             0.80982,             0.55486,              0.0268,            0.016265,                   0,           0.0064608,           0.0064608,           0.0064608
                 145,            0.032364,            0.020229,                   0,             0.89005,             0.81481,             0.85445,             0.61163,             0.02558,            0.015026,                   0,            0.006436,            0.006436,            0.006436
                 146,            0.027004,             0.01986,                   0,             0.89307,             0.77778,             0.84454,             0.62504,            0.024369,            0.015524,                   0,           0.0064112,           0.0064112,           0.0064112
                 147,            0.028771,            0.020069,                   0,             0.89816,             0.76219,             0.84083,             0.61314,             0.02449,            0.015251,                   0,           0.0063865,           0.0063865,           0.0063865
                 148,            0.025683,            0.018065,                   0,             0.89248,             0.82716,             0.85048,             0.61889,            0.024531,            0.015166,                   0,           0.0063618,           0.0063618,           0.0063618
                 149,            0.026392,            0.018778,                   0,             0.94712,             0.81481,             0.87254,             0.64267,            0.022622,            0.014553,                   0,            0.006337,            0.006337,            0.006337
                 150,            0.028024,            0.021828,                   0,             0.92301,             0.80247,             0.86613,             0.63093,            0.023064,            0.015069,                   0,           0.0063122,           0.0063122,           0.0063122
                 151,             0.02729,            0.018016,                   0,             0.86386,             0.80247,             0.84746,             0.64417,            0.022865,            0.015086,                   0,           0.0062875,           0.0062875,           0.0062875
                 152,            0.025854,             0.01792,                   0,             0.92627,             0.81481,             0.85424,             0.58081,            0.025547,             0.01503,                   0,           0.0062628,           0.0062628,           0.0062628
                 153,            0.026567,            0.020043,                   0,             0.86488,             0.82716,             0.87549,              0.6375,            0.022487,            0.015147,                   0,            0.006238,            0.006238,            0.006238
